84 132
228 272
1981 1 1
1981 1 2
1981 1 3
1981 1 4
1981 1 5
1981 1 6
1981 1 7
1981 1 8
1981 1 9
1981 1 10
1981 1 11
1981 1 12
1981 1 13
1981 1 14
1981 1 15
1981 1 16
1981 1 17
1981 1 18
1981 1 19
1981 1 20
1981 1 21
1981 1 22
1981 1 23
1981 1 24
1981 1 25
1981 1 26
1981 1 27
1981 1 28
1981 1 29
1981 1 30
1981 1 31
1981 2 1
1981 2 2
1981 2 3
1981 2 4
1981 2 5
1981 2 6
1981 2 7
1981 2 8
1981 2 9
1981 2 10
1981 2 11
1981 2 12
1981 2 13
1981 2 14
1981 2 15
1981 2 16
1981 2 17
1981 2 18
1981 2 19
1981 2 20
1981 2 21
1981 2 22
1981 2 23
1981 2 24
1981 2 25
1981 2 26
1981 2 27
1981 2 28
1981 12 1
1981 12 2
1981 12 3
1981 12 4
1981 12 5
1981 12 6
1981 12 7
1981 12 8
1981 12 9
1981 12 10
1981 12 11
1981 12 12
1981 12 13
1981 12 14
1981 12 15
1981 12 16
1981 12 17
1981 12 18
1981 12 19
1981 12 20
1981 12 21
1981 12 22
1981 12 23
1981 12 24
1981 12 25
1981 12 26
1981 12 27
1981 12 28
1981 12 29
1981 12 30
1981 12 31
1982 1 1
1982 1 2
1982 1 3
1982 1 4
1982 1 5
1982 1 6
1982 1 7
1982 1 8
1982 1 9
1982 1 10
1982 1 11
1982 1 12
1982 1 13
1982 1 14
1982 1 15
1982 1 16
1982 1 17
1982 1 18
1982 1 19
1982 1 20
1982 1 21
1982 1 22
1982 1 23
1982 1 24
1982 1 25
1982 1 26
1982 1 27
1982 1 28
1982 1 29
1982 1 30
1982 1 31
1982 2 1
1982 2 2
1982 2 3
1982 2 4
1982 2 5
1982 2 6
1982 2 7
1982 2 8
1982 2 9
1982 2 10
1982 2 11
1982 2 12
1982 2 13
1982 2 14
1982 2 15
1982 2 16
1982 2 17
1982 2 18
1982 2 19
1982 2 20
1982 2 21
1982 2 22
1982 2 23
1982 2 24
1982 2 25
1982 2 26
1982 2 27
1982 2 28
1982 12 1
1982 12 2
1982 12 3
1982 12 4
1982 12 5
1982 12 6
1982 12 7
1982 12 8
1982 12 9
1982 12 10
1982 12 11
1982 12 12
1982 12 13
1982 12 14
1982 12 15
1982 12 16
1982 12 17
1982 12 18
1982 12 19
1982 12 20
1982 12 21
1982 12 22
1982 12 23
1982 12 24
1982 12 25
1982 12 26
1982 12 27
1982 12 28
1982 12 29
1982 12 30
1982 12 31
1983 1 1
1983 1 2
1983 1 3
1983 1 4
1983 1 5
1983 1 6
1983 1 7
1983 1 8
1983 1 9
1983 1 10
1983 1 11
1983 1 12
1983 1 13
1983 1 14
1983 1 15
1983 1 16
1983 1 17
1983 1 18
1983 1 19
1983 1 20
1983 1 21
1983 1 22
1983 1 23
1983 1 24
1983 1 25
1983 1 26
1983 1 27
1983 1 28
1983 1 29
1983 1 30
1983 1 31
1983 2 1
1983 2 2
1983 2 3
1983 2 4
1983 2 5
1983 2 6
1983 2 7
1983 2 8
1983 2 9
1983 2 10
1983 2 11
1983 2 12
1983 2 13
1983 2 14
1983 2 15
1983 2 16
1983 2 17
1983 2 18
1983 2 19
1983 2 20
1983 2 21
1983 2 22
1983 2 23
1983 2 24
1983 2 25
1983 2 26
1983 2 27
1983 2 28
1983 12 1
1983 12 2
1983 12 3
1983 12 4
1983 12 5
1983 12 6
1983 12 7
1983 12 8
1983 12 9
1983 12 10
1983 12 11
1983 12 12
1983 12 13
1983 12 14
1983 12 15
1983 12 16
1983 12 17
1983 12 18
1983 12 19
1983 12 20
1983 12 21
1983 12 22
1983 12 23
1983 12 24
1983 12 25
1983 12 26
1983 12 27
1983 12 28
1983 12 29
1983 12 30
1983 12 31
1984 1 1
1984 1 2
1984 1 3
1984 1 4
1984 1 5
1984 1 6
1984 1 7
1984 1 8
1984 1 9
1984 1 10
1984 1 11
1984 1 12
1984 1 13
1984 1 14
1984 1 15
1984 1 16
1984 1 17
1984 1 18
1984 1 19
1984 1 20
1984 1 21
1984 1 22
1984 1 23
1984 1 24
1984 1 25
1984 1 26
1984 1 27
1984 1 28
1984 1 29
1984 1 30
1984 1 31
1984 2 1
1984 2 2
1984 2 3
1984 2 4
1984 2 5
1984 2 6
1984 2 7
1984 2 8
1984 2 9
1984 2 10
1984 2 11
1984 2 12
1984 2 13
1984 2 14
1984 2 15
1984 2 16
1984 2 17
1984 2 18
1984 2 19
1984 2 20
1984 2 21
1984 2 22
1984 2 23
1984 2 24
1984 2 25
1984 2 26
1984 2 27
1984 2 28
1984 12 1
1984 12 2
1984 12 3
1984 12 4
1984 12 5
1984 12 6
1984 12 7
1984 12 8
1984 12 9
1984 12 10
1984 12 11
1984 12 12
1984 12 13
1984 12 14
1984 12 15
1984 12 16
1984 12 17
1984 12 18
1984 12 19
1984 12 20
1984 12 21
1984 12 22
1984 12 23
1984 12 24
1984 12 25
1984 12 26
1984 12 27
1984 12 28
1984 12 29
1984 12 30
1984 12 31
1985 1 1
1985 1 2
1985 1 3
1985 1 4
1985 1 5
1985 1 6
1985 1 7
1985 1 8
1985 1 9
1985 1 10
1985 1 11
1985 1 12
1985 1 13
1985 1 14
1985 1 15
1985 1 16
1985 1 17
1985 1 18
1985 1 19
1985 1 20
1985 1 21
1985 1 22
1985 1 23
1985 1 24
1985 1 25
1985 1 26
1985 1 27
1985 1 28
1985 1 29
1985 1 30
1985 1 31
1985 2 1
1985 2 2
1985 2 3
1985 2 4
1985 2 5
1985 2 6
1985 2 7
1985 2 8
1985 2 9
1985 2 10
1985 2 11
1985 2 12
1985 2 13
1985 2 14
1985 2 15
1985 2 16
1985 2 17
1985 2 18
1985 2 19
1985 2 20
1985 2 21
1985 2 22
1985 2 23
1985 2 24
1985 2 25
1985 2 26
1985 2 27
1985 2 28
1985 12 1
1985 12 2
1985 12 3
1985 12 4
1985 12 5
1985 12 6
1985 12 7
1985 12 8
1985 12 9
1985 12 10
1985 12 11
1985 12 12
1985 12 13
1985 12 14
1985 12 15
1985 12 16
1985 12 17
1985 12 18
1985 12 19
1985 12 20
1985 12 21
1985 12 22
