,20,40,60,80,100
1000.0,,,,,
999.0,,,,,1.96311797105e-05
998.0,,,,,1.96421864834e-05
997.0,,,,,1.96531991964e-05
996.0,,,,,1.96642178167e-05
995.0,,,,,1.96752423128e-05
994.0,,,,,1.9686272648e-05
993.0,,,,,1.96973087901e-05
992.0,,,,,1.97083506934e-05
991.0,,,,,1.97193983311e-05
990.0,,,,,1.97304516643e-05
989.0,,,,,1.97415106512e-05
988.0,,,,,1.9752575257e-05
987.0,,,,,1.97636454473e-05
986.0,,,,,1.97747211769e-05
985.0,,,,,1.97858024123e-05
984.0,,,,,1.97968891121e-05
983.0,,,,,1.98079812374e-05
982.0,,,,,1.98190787488e-05
981.0,,,,,1.9830181601e-05
980.0,,,,,1.98412897646e-05
979.0,,,,,1.98524031785e-05
978.0,,,,,1.9863521826e-05
977.0,,,,,1.98746456452e-05
976.0,,,,,1.98857746046e-05
975.0,,,,,1.98969086545e-05
974.0,,,,,1.99080477568e-05
973.0,,,,,1.9919191863e-05
972.0,,,,,1.99303409327e-05
971.0,,,,,1.99414949179e-05
970.0,,,,,1.9952653779e-05
969.0,,,,,1.99638174625e-05
968.0,,,,,1.99749859292e-05
967.0,,,,,1.99861591233e-05
966.0,,,,,1.9997337011e-05
965.0,,,,,2.00085195336e-05
964.0,,,,,2.00197066482e-05
963.0,,,,,2.00308983071e-05
962.0,,,,,2.00420944545e-05
961.0,,,,,2.00532950497e-05
960.0,,,,,2.00645000354e-05
959.0,,,,,2.0075709363e-05
958.0,,,,,2.0086922989e-05
957.0,,,,,2.00981408594e-05
956.0,,,,,2.01093629125e-05
955.0,,,,,2.01205891013e-05
954.0,,,,,2.01318193784e-05
953.0,,,,,2.01430536848e-05
952.0,,,,,2.01542919631e-05
951.0,,,,,2.01655341725e-05
950.0,,,,,2.0176780233e-05
949.0,,,,1.90822055476e-05,2.01880301195e-05
948.0,,,,1.90911236934e-05,2.01992837533e-05
947.0,,,,1.91000375207e-05,2.0210541089e-05
946.0,,,,1.91089469342e-05,2.02218020589e-05
945.0,,,,1.91178518351e-05,2.02330666121e-05
944.0,,,,1.91267521323e-05,2.02443346942e-05
943.0,,,,1.91356477336e-05,2.02556062397e-05
942.0,,,,1.9144538539e-05,2.02668811903e-05
941.0,,,,1.9153424456e-05,2.0278159483e-05
940.0,,,,1.91623053798e-05,2.0289441071e-05
939.0,,,,1.91711812264e-05,2.03007258717e-05
938.0,,,,1.91800518783e-05,2.03120138355e-05
